IDSUBSLS,IDSLS,KDKEC,KDDESA,NMKEC,NMDESA,NMSLS
1708070009000200,17080700090002,070,009,UJAN MAS,PUNGGUK MERANTI,DUSUN 2
1708040005000500,17080400050005,040,005,TEBAT KARAI,TALANG KARET,DUSUN 5
1708050008000402,17080500080004,050,008,KEPAHIANG,KAMPUNG BOGOR,DUSUN 4
1708020003000100,17080200030001,020,003,BERMANI ILIR,TALANG PITO,DUSUN 1
1708060010000200,17080600100002,060,010,KABA WETAN,BANDUNG BARU,DUSUN 2
1708060002000300,17080600020003,060,002,KABA WETAN,BUKIT SARI,DUSUN 3
1708050012000400,17080500120004,050,012,KEPAHIANG,KUTO REJO,DUSUN 4
1708030011000100,17080300110001,030,011,SEBERANG MUSI,TALANG BABATAN,DUSUN 1
1708010005001300,17080100050013,010,005,MUARA KEMUMU,BATU BANDUNG,DUSUN 13
1708080003000200,17080800030002,080,003,MERIGI,DURIAN DEPUN,RT 2
1708050021000900,17080500210009,050,021,KEPAHIANG,PADANG LEKAT,RT 9 RW 2
1708050001000400,17080500010004,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 4
1708080003001100,17080800030011,080,003,MERIGI,DURIAN DEPUN,RT 11
1708070010000600,17080700100006,070,010,UJAN MAS,BUMI SARI,DUSUN 6
1708070001000200,17080700010002,070,001,UJAN MAS,DASPETAH,DUSUN 2
1708010002000700,17080100020007,010,002,MUARA KEMUMU,BATU KALUNG,DUSUN 7
1708050001000600,17080500010006,050,001,KEPAHIANG,TEBAT MONOK,DUSUN 6
1708040005100100,17080400051001,040,005,TEBAT KARAI,TALANG KARET,PERKEBUNAN
1708050016200100,17080500162001,050,016,KEPAHIANG,KELOBAK,HUTAN
1708040006000700,17080400060007,040,006,TEBAT KARAI,TEBAT KARAI,RT 7 RW 3
1708050009000200,17080500090002,050,009,KEPAHIANG,PENSIUNAN,RT 2 RW 1
1708050010000700,17080500100007,050,010,KEPAHIANG,PASAR KEPAHIANG,RT 7 RW 3
1708050020000800,17080500200008,050,020,KEPAHIANG,PASAR SEJANTUNG,RT 8 RW 4
1708020004200100,17080200042001,020,004,BERMANI ILIR,TALANG SAWAH,HUTAN
1708020004000200,17080200040002,020,004,BERMANI ILIR,TALANG SAWAH,DUSUN 2
1708070007000200,17080700070002,070,007,UJAN MAS,SURO BARU,DUSUN 2
1708020006000400,17080200060004,020,006,BERMANI ILIR,EMBONG IJUK,DUSUN 4
1708020016000200,17080200160002,020,016,BERMANI ILIR,MUARA LANGKAP,DUSUN 2
1708010003000400,17080100030004,010,003,MUARA KEMUMU,SOSOKAN BARU,DUSUN 4
1708080004000300,17080800040003,080,004,MERIGI,PULO GETO,DUSUN 3
1708020016000300,17080200160003,020,016,BERMANI ILIR,MUARA LANGKAP,DUSUN 3
1708070003000500,17080700030005,070,003,UJAN MAS,UJAN MAS ATAS,RT 5 RW 2
1708070015000200,17080700150002,070,015,UJAN MAS,MERANTI JAYA,DUSUN 2
1708010007000300,17080100070003,010,007,MUARA KEMUMU,RENAH KURUNG,DUSUN 3
1708060004000100,17080600040001,060,004,KABA WETAN,TANGSI BARU,RT 1 RW 1
1708040007000100,17080400070001,040,007,TEBAT KARAI,TABA SATING,DUSUN 1
1708050013200100,17080500132001,050,013,KEPAHIANG,KARANG ANYAR,HUTAN
1708050023000100,17080500230001,050,023,KEPAHIANG,PERMU BAWAH,DUSUN 1
1708070001000700,17080700010007,070,001,UJAN MAS,DASPETAH,DUSUN 7
1708030005000200,17080300050002,030,005,SEBERANG MUSI,LUBUK SAHUNG,DUSUN 2
1708080003000400,17080800030004,080,003,MERIGI,DURIAN DEPUN,RT 4
1708070003000900,17080700030009,070,003,UJAN MAS,UJAN MAS ATAS,RT 9 RW 3
1708060007000400,17080600070004,060,007,KABA WETAN,BARAT WETAN,DUSUN 4
1708060004000300,17080600040003,060,004,KABA WETAN,TANGSI BARU,RT 3 RW 1
1708030007000300,17080300070003,030,007,SEBERANG MUSI,KANDANG,DUSUN 3
1708060006000300,17080600060003,060,006,KABA WETAN,BABAKAN BOGOR,DUSUN 3
